date,symbol,marketcapname,sector
08-08-2023,JISLDVREQS,Smallcap,FMCG
08-08-2023,HISARMETAL,Smallcap,Metals
08-08-2023,BANCOINDIA,Smallcap,Auto
08-08-2023,CIPLA,Largecap,Pharmaceuticals
08-08-2023,NDLVENTURE,Smallcap,Media
08-08-2023,PIXTRANS,Smallcap,FMCG
08-08-2023,BBOX,Smallcap,I.T
08-08-2023,KESORAMIND,Midcap,Industrials
08-08-2023,PENINLAND,Smallcap,Realty
08-08-2023,RUBYMILLS,Smallcap,Textiles
08-08-2023,HIRECT,Smallcap,FMCG
08-08-2023,TALBROAUTO,Smallcap,Auto
08-08-2023,RESPONIND,Midcap,FMCG
08-08-2023,EVERESTIND,Smallcap,Industrials
08-08-2023,GUFICBIO,Smallcap,Pharmaceuticals
08-08-2023,SATINDLTD,Smallcap,Metals
08-08-2023,SAMBHAAV,Smallcap,Media
08-08-2023,SEQUENT,Smallcap,Pharmaceuticals
08-08-2023,VENUSPIPES,Smallcap,Metals
08-08-2023,NRAIL,Smallcap,Industrials
08-08-2023,PRAJIND,Midcap,FMCG
08-08-2023,SKMEGGPROD,Smallcap,FMCG
08-08-2023,TCPLPACK,Smallcap,Services
08-08-2023,ITI,Largecap,Telecom
08-08-2023,PLASTIBLEN,Smallcap,Industrials
08-08-2023,KIOCL,Largecap,Industrials
08-08-2023,HUDCO,Largecap,Finance
08-08-2023,CAPLIPOINT,Midcap,Pharmaceuticals
08-08-2023,NATCOPHARM,Midcap,Pharmaceuticals
08-08-2023,PANSARI,Smallcap,Realty
08-08-2023,TECHIN,Smallcap,Realty
08-08-2023,TFCILTD,Smallcap,Finance
08-08-2023,DPABHUSHAN,Smallcap,Services
08-08-2023,ONEPOINT,Smallcap,I.T
08-08-2023,SANGHVIMOV,Midcap,Miscellaneous
08-08-2023,HINDCON,Smallcap,Industrials
08-08-2023,E2E,Smallcap,I.T
08-08-2023,PARACABLES,Smallcap,Industrials
08-08-2023,EMAMILTD,Midcap,FMCG
08-08-2023,RPSGVENT,Smallcap,I.T
08-08-2023,INDRAMEDCO,Smallcap,Pharmaceuticals
08-08-2023,LIKHITHA,Smallcap,Realty
08-08-2023,ITDC,Midcap,Services
08-08-2023,BFUTILITIE,Smallcap,Miscellaneous
08-08-2023,MAHABANK,Largecap,Bank
08-08-2023,KTKBANK,Midcap,Bank
08-08-2023,GVKPIL,Smallcap,Realty
08-08-2023,DEEPINDS,Smallcap,Industrials
08-08-2023,LUMAXTECH,Smallcap,Auto
08-08-2023,INDIANB,Largecap,Bank
08-08-2023,ALPA,Smallcap,Pharmaceuticals
08-08-2023,JKIL,Smallcap,Realty
08-08-2023,ONMOBILE,Smallcap,Telecom
08-08-2023,BANG,Smallcap,Services
08-08-2023,RECLTD,Largecap,Finance
08-08-2023,NIRAJ,Smallcap,Realty
08-08-2023,VASCONEQ,Smallcap,Realty
08-08-2023,TEXRAIL,Midcap,FMCG
08-08-2023,ZENTEC,Midcap,Aerospace & Defence
08-08-2023,PFS,Smallcap,Finance
08-08-2023,GLAND,Largecap,Pharmaceuticals
08-08-2023,BECTORFOOD,Midcap,FMCG
08-08-2023,IRFC,Largecap,Finance
08-08-2023,RAILTEL,Midcap,Telecom
08-08-2023,ORIENTCEM,Smallcap,Industrials
08-08-2023,IWEL,Midcap,Miscellaneous
08-08-2023,SIGACHI,Smallcap,Pharmaceuticals
08-08-2023,RATEGAIN,Midcap,I.T
08-08-2023,INOXWIND,Midcap,FMCG
08-08-2023,VETO,Smallcap,FMCG
08-08-2023,PRITIKAUTO,Smallcap,Auto
08-08-2023,LLOYDSENGG,Midcap,FMCG
09-08-2023,JISLDVREQS,Smallcap,FMCG
09-08-2023,HISARMETAL,Smallcap,Metals
09-08-2023,BANCOINDIA,Smallcap,Auto
09-08-2023,BIRLACABLE,Smallcap,Industrials
09-08-2023,KCP,Smallcap,Industrials
09-08-2023,GFLLIMITED,Smallcap,Finance
09-08-2023,HCC,Smallcap,Realty
09-08-2023,HINDOILEXP,Smallcap,Oils
09-08-2023,NDLVENTURE,Smallcap,Media
09-08-2023,MOREPENLAB,Smallcap,Pharmaceuticals
09-08-2023,THOMASCOOK,Midcap,Miscellaneous
09-08-2023,CENTRUM,Smallcap,Finance
09-08-2023,MANGLMCEM,Smallcap,Industrials
09-08-2023,KESORAMIND,Midcap,Industrials
09-08-2023,PENINLAND,Smallcap,Realty
09-08-2023,MARATHON,Smallcap,Realty
09-08-2023,TALBROAUTO,Smallcap,Auto
09-08-2023,ANTGRAPHIC,Smallcap,Services
09-08-2023,RESPONIND,Midcap,FMCG
09-08-2023,KOTHARIPET,Smallcap,Oils
09-08-2023,TI,Smallcap,FMCG
09-08-2023,VENUSPIPES,Smallcap,Metals
09-08-2023,JYOTISTRUC,Smallcap,FMCG
09-08-2023,NLCINDIA,Largecap,Miscellaneous
09-08-2023,SANGAMIND,Smallcap,Textiles
09-08-2023,FIVESTAR,Largecap,Finance
09-08-2023,TASTYBITE,Smallcap,FMCG
09-08-2023,DHARMAJ,Smallcap,Industrials
09-08-2023,SPENTEX,Smallcap,Textiles
09-08-2023,PRAJIND,Midcap,FMCG
09-08-2023,GET&D,Largecap,FMCG
09-08-2023,DCMSRIND,Smallcap,FMCG
09-08-2023,MAHEPC,Smallcap,FMCG
09-08-2023,AAREYDRUGS,Smallcap,Pharmaceuticals
09-08-2023,BSE,Largecap,Miscellaneous
09-08-2023,AUROPHARMA,Largecap,Pharmaceuticals
09-08-2023,NATCOPHARM,Midcap,Pharmaceuticals
09-08-2023,PATINTLOG,Smallcap,Services
09-08-2023,CCHHL,Smallcap,Services
09-08-2023,TFCILTD,Smallcap,Finance
09-08-2023,BCONCEPTS,Smallcap,FMCG
09-08-2023,ONEPOINT,Smallcap,I.T
09-08-2023,HINDCON,Smallcap,Industrials
09-08-2023,IRCON,Largecap,Realty
09-08-2023,MARINE,Smallcap,FMCG
09-08-2023,EMAMILTD,Midcap,FMCG
09-08-2023,INDRAMEDCO,Smallcap,Pharmaceuticals
09-08-2023,HBSL,Smallcap,Finance
09-08-2023,WOCKPHARMA,Midcap,Pharmaceuticals
09-08-2023,BFUTILITIE,Smallcap,Miscellaneous
09-08-2023,MAHABANK,Largecap,Bank
09-08-2023,GVKPIL,Smallcap,Realty
09-08-2023,SAKUMA,Smallcap,Services
09-08-2023,VOLTAMP,Midcap,FMCG
09-08-2023,ACE,Midcap,FMCG
09-08-2023,SHIVAMAUTO,Smallcap,Auto
09-08-2023,PGIL,Smallcap,FMCG
09-08-2023,AHLUCONT,Midcap,Realty
09-08-2023,SMSPHARMA,Smallcap,Pharmaceuticals
09-08-2023,RELIGARE,Midcap,Finance
09-08-2023,JKIL,Smallcap,Realty
09-08-2023,ONMOBILE,Smallcap,Telecom
09-08-2023,VGUARD,Midcap,FMCG
09-08-2023,DHANI,Smallcap,Finance
09-08-2023,JAIBALAJI,Midcap,Metals
09-08-2023,NIRAJ,Smallcap,Realty
09-08-2023,KCPSUGIND,Smallcap,FMCG
09-08-2023,MOIL,Midcap,Industrials
09-08-2023,ZENTEC,Midcap,Aerospace & Defence
09-08-2023,GLAND,Largecap,Pharmaceuticals
09-08-2023,RTNINDIA,Midcap,Miscellaneous
09-08-2023,REPCOHOME,Smallcap,Finance
09-08-2023,ORIENTCEM,Smallcap,Industrials
09-08-2023,IWEL,Midcap,Miscellaneous
09-08-2023,VINEETLAB,Smallcap,Pharmaceuticals
09-08-2023,SHYAMMETL,Midcap,Metals
09-08-2023,SKIPPER,Smallcap,Industrials
09-08-2023,FINOPB,Smallcap,Bank
09-08-2023,HPAL,Smallcap,Industrials
09-08-2023,VETO,Smallcap,FMCG
09-08-2023,PRITIKAUTO,Smallcap,Auto
10-08-2023,JISLDVREQS,Smallcap,FMCG
10-08-2023,BANCOINDIA,Smallcap,Auto
10-08-2023,IFCI,Midcap,Finance
10-08-2023,HSCL,Midcap,Industrials
10-08-2023,INDIAGLYCO,Smallcap,FMCG
10-08-2023,JISLJALEQS,Smallcap,FMCG
10-08-2023,KIRLOSBROS,Midcap,FMCG
10-08-2023,TRENT,Largecap,FMCG
10-08-2023,THOMASCOOK,Midcap,Miscellaneous
10-08-2023,ANTGRAPHIC,Smallcap,Services
10-08-2023,RESPONIND,Midcap,FMCG
10-08-2023,ZEEL,Midcap,Media
10-08-2023,HEUBACHIND,Smallcap,Industrials
10-08-2023,KOTHARIPET,Smallcap,Oils
10-08-2023,GUFICBIO,Smallcap,Pharmaceuticals
10-08-2023,ITDCEM,Midcap,Realty
10-08-2023,HINDCOMPOS,Smallcap,Auto
10-08-2023,GATEWAY,Midcap,Services
10-08-2023,GANDHITUBE,Smallcap,Metals
10-08-2023,TTL,Smallcap,Textiles
10-08-2023,WEBELSOLAR,Smallcap,FMCG
10-08-2023,FIVESTAR,Largecap,Finance
10-08-2023,TASTYBITE,Smallcap,FMCG
10-08-2023,DHARMAJ,Smallcap,Industrials
10-08-2023,ICIL,Midcap,Textiles
10-08-2023,SPENTEX,Smallcap,Textiles
10-08-2023,SAFARI,Midcap,FMCG
10-08-2023,AAREYDRUGS,Smallcap,Pharmaceuticals
10-08-2023,PREMEXPLN,Smallcap,Industrials
10-08-2023,CCHHL,Smallcap,Services
10-08-2023,JASH,Smallcap,FMCG
10-08-2023,JUBLPHARMA,Midcap,Pharmaceuticals
10-08-2023,BCONCEPTS,Smallcap,FMCG
10-08-2023,HINDCON,Smallcap,Industrials
10-08-2023,E2E,Smallcap,I.T
10-08-2023,VARROC,Midcap,Auto
10-08-2023,MANAPPURAM,Midcap,Finance
10-08-2023,FDC,Midcap,Pharmaceuticals
10-08-2023,LINCOLN,Smallcap,Pharmaceuticals
10-08-2023,PRINCEPIPE,Midcap,FMCG
10-08-2023,INDRAMEDCO,Smallcap,Pharmaceuticals
10-08-2023,ACLGATI,Smallcap,FMCG
10-08-2023,BALAJITELE,Smallcap,Media
10-08-2023,MEGASOFT,Smallcap,Pharmaceuticals
10-08-2023,BFUTILITIE,Smallcap,Miscellaneous
10-08-2023,BAGFILMS,Smallcap,Media
10-08-2023,JPPOWER,Midcap,Miscellaneous
10-08-2023,SAKUMA,Smallcap,Services
10-08-2023,SHIVAMAUTO,Smallcap,Auto
10-08-2023,ZEEMEDIA,Smallcap,Media
10-08-2023,PPAP,Smallcap,Auto
10-08-2023,JAIBALAJI,Midcap,Metals
10-08-2023,NIRAJ,Smallcap,Realty
10-08-2023,JSWENERGY,Largecap,Miscellaneous
10-08-2023,ZENTEC,Midcap,Aerospace & Defence
10-08-2023,TARC,Smallcap,Realty
10-08-2023,WINDLAS,Smallcap,Pharmaceuticals
